domain,question,answer,label
Behavioral,Tell me about a time you had to compromise.,"I wanted to rewrite a legacy module to clean up technical debt, but the Product Manager needed a new feature immediately. We compromised by agreeing that I would implement the new feature first, but we would allocate 20% of the next sprint to refactoring the legacy module.",2
Behavioral,Tell me about a time you had to compromise.,"I let the other person have their way.",1
Behavioral,Tell me about a time you had to compromise.,"I never compromise.",0
Technical,What is NoSQL?,"NoSQL refers to non-relational databases that store data in formats other than tabular relations, such as documents, key-pairs, or graphs. They are designed for high scalability and flexibility, often used for big data and real-time web applications (e.g., MongoDB, Redis).",2
Technical,What is NoSQL?,"It means no SQL is used.",1
Technical,What is NoSQL?,"It is a database that hates SQL.",0
HR,Are you willing to relocate?,"Yes, I am willing to relocate. I have researched your city and it seems like a vibrant place with a great tech scene. I am excited about the prospect of a new adventure.",2
HR,Are you willing to relocate?,"Maybe, if the money is good.",1
HR,Are you willing to relocate?,"No.",0
Technical,What is a hash map?,"A hash map is a data structure that implements an associative array abstract data type, a structure that can map keys to values. It uses a hash function to compute an index into an array of buckets or slots, from which the desired value can be found.",2
Technical,What is a hash map?,"It maps data to keys.",1
Technical,What is a hash map?,"It is a map of hashes.",0
Behavioral,How do you organize your day?,"I start every morning by reviewing my Jira tickets and prioritizing the top 3 tasks for the day. I block out 'deep work' time in the morning for coding when I'm most alert, and save meetings and emails for the afternoon.",2
Behavioral,How do you organize your day?,"I just do whatever comes up.",1
Behavioral,How do you organize your day?,"I don't organize anything.",0
Technical,What is Unit Testing?,"Unit testing is a software testing method where individual units or components of a software are tested. The purpose is to validate that each unit of the software code performs as expected. It is usually automated and written by developers.",2
Technical,What is Unit Testing?,"It is testing one part of the code.",1
Technical,What is Unit Testing?,"It is testing the units.",0
HR,Who is your role model?,"My role model is Satya Nadella. I admire how he transformed Microsoft's culture from competitive to collaborative and his focus on empathy in leadership. I try to apply that same empathy when working with my team.",2
HR,Who is your role model?,"Steve Jobs.",1
HR,Who is your role model?,"Batman.",0
Technical,What is the output of 2+2 in Python string format?,"If you mean adding two strings '2' + '2', the output is '22'. If you mean the integer addition formatted as a string, it is '4'.",2
Technical,What is the output of 2+2 in Python string format?,"It is 4.",1
Technical,What is the output of 2+2 in Python string format?,"22.",1
Technical,What is the output of 2+2 in Python string format?,"Math.",0
Behavioral,Describe a complex problem you solved.,"We had a memory leak in our production server that caused crashes every 24 hours. I used profiling tools to analyze the heap dumps and identified a circular reference in our caching layer. I rewrote the caching logic to use weak references, which solved the leak and stabilized the server.",2
Behavioral,Describe a complex problem you solved.,"I fixed a bug in the code that was crashing the app.",1
Behavioral,Describe a complex problem you solved.,"I restarted the server.",0
Technical,What is an API?,"API stands for Application Programming Interface. It is a set of rules and protocols that allows different software applications to communicate with each other. It defines the methods and data formats that applications can use to request and exchange information.",2
Technical,What is an API?,"It lets programs talk to each other.",1
Technical,What is an API?,"It is a computer thing.",0
HR,How do you handle repetitive tasks?,"I try to automate repetitive tasks whenever possible using scripts. If automation isn't possible, I listen to podcasts or music to keep my focus and view it as a necessary part of maintaining a high-quality product.",2
HR,How do you handle repetitive tasks?,"I just do them.",1
HR,How do you handle repetitive tasks?,"I get bored.",0
Technical,What is the 'this' keyword in JavaScript?,"In JavaScript, the 'this' keyword refers to the object it belongs to. Its value depends on how the function is called (e.g., in a method it refers to the owner object, alone it refers to the global object, in an event it refers to the element that received the event).",2
Technical,What is the 'this' keyword in JavaScript?,"It refers to the current thing.",1
Technical,What is the 'this' keyword in JavaScript?,"It is a word.",0
Behavioral,Tell me about a time you delegated effectively.,"As a senior dev, I had to deliver a large module. I delegated the UI component creation to a junior developer, providing him with clear wireframes and API contracts. I checked in daily. This allowed me to focus on the complex backend logic, and he learned a lot about component design.",2
Behavioral,Tell me about a time you delegated effectively.,"I gave some work to my teammate because I was busy.",1
Behavioral,Tell me about a time you delegated effectively.,"I made someone else do my work.",0
Technical,What is JSON?,"JSON (JavaScript Object Notation) is a lightweight data-interchange format that is easy for humans to read and write and easy for machines to parse and generate. It is language-independent but uses conventions familiar to programmers of the C-family of languages.",2
Technical,What is JSON?,"It is a file format for data.",1
Technical,What is JSON?,"It is a person's name.",0
HR,What are your long-term career goals?,"In the long term, I aspire to become a CTO of a tech startup. I want to build a product from the ground up, not just technically, but also by shaping the engineering culture and strategy. Working here will give me the experience in scaling systems that I need for that journey.",2
HR,What are your long-term career goals?,"I want to keep coding.",1
HR,What are your long-term career goals?,"To be rich.",0
Technical,What is the difference between TCP and IP?,"TCP (Transmission Control Protocol) manages the reliability and ordering of the data packets, while IP (Internet Protocol) handles the addressing and routing of those packets to the correct destination. They work together as the TCP/IP stack.",2
Technical,What is the difference between TCP and IP?,"They are internet protocols.",1
Technical,What is the difference between TCP and IP?,"One is for phone and one is for internet.",0
Behavioral,How do you react to change?,"I embrace change as an opportunity to learn. When our company pivoted to a mobile-first strategy, I immediately signed up for an iOS development workshop. I helped the team transition our web app to a mobile-responsive design.",2
Behavioral,How do you react to change?,"I just go with the flow.",1
Behavioral,How do you react to change?,"I don't like it.",0
Technical,What is a foreign key?,"A foreign key is a field (or collection of fields) in one table that refers to the primary key in another table. It is used to link two tables together and enforce referential integrity.",2
Technical,What is a foreign key?,"It links two tables.",1
Technical,What is a foreign key?,"It is a key from another country.",0
HR,Why is there a gap in your employment?,"I took six months off to care for a sick family member. During that time, I stayed current by contributing to open source projects and obtaining my AWS Cloud Practitioner certification. I am now fully ready to return to the workforce.",2
HR,Why is there a gap in your employment?,"I didn't have a job for a while.",1
HR,Why is there a gap in your employment?,"I just didn't want to work.",0
Technical,What is an algorithm?,"An algorithm is a step-by-step procedure or set of rules to be followed in calculations or other problem-solving operations by a computer. It takes an input, processes it, and produces an output.",2
Technical,What is an algorithm?,"It is how computers think.",1
Technical,What is an algorithm?,"It is magic math.",0
Behavioral,Tell me about a time you were under a lot of pressure.,"During university finals, my laptop crashed, losing my final project two days before the deadline. I stayed calm, went to the computer lab, and rewrote the code based on my notes. I worked for 30 hours straight but submitted it on time and got an A.",2
Behavioral,Tell me about a time you were under a lot of pressure.,"I had a lot of exams once.",1
Behavioral,Tell me about a time you were under a lot of pressure.,"I cried.",0
Technical,What is cloud computing?,"Cloud computing is the delivery of computing services—including servers, storage, databases, networking, software, analytics, and intelligence—over the Internet ('the cloud') to offer faster innovation, flexible resources, and economies of scale.",2
Technical,What is cloud computing?,"It is using computers on the internet.",1
Technical,What is cloud computing?,"It is storing data in the sky.",0
HR,How would your coworkers describe you?,"My coworkers would describe me as reliable and the 'debugger' of the team. They often come to me when they are stuck on a tricky error because I have a systematic approach to troubleshooting. They would also say I bring good donuts on Fridays.",2
HR,How would your coworkers describe you?,"They would say I am nice.",1
HR,How would your coworkers describe you?,"They don't talk to me.",0
Technical,What is the difference between compilation and interpretation?,"Compilation transforms the entire source code into machine code (binary) at once before execution (e.g., C++). Interpretation translates the source code line-by-line during execution (e.g., Python). Compiled code is generally faster to execute.",2
Technical,What is the difference between compilation and interpretation?,"One is fast and one is slow.",1
Technical,What is the difference between compilation and interpretation?,"Compiling is writing code.",0
Behavioral,Have you ever had to handle a conflict of interest?,"Yes, in a previous role, my cousin applied for a job in my department. I immediately disclosed this relationship to HR and recused myself from the interview panel and decision-making process to ensure fairness and transparency.",2
Behavioral,Have you ever had to handle a conflict of interest?,"I hired my friend once.",1
Behavioral,Have you ever had to handle a conflict of interest?,"I don't know what that is.",0
Technical,What is a cookie?,"A cookie is a small piece of data stored on the user's computer by the web browser while browsing a website. It is used to remember stateful information (like items in a shopping cart) or to record the user's browsing activity.",2
Technical,What is a cookie?,"It tracks you online.",1
Technical,What is a cookie?,"It is a sweet snack.",0
HR,What are three words to describe yourself?,"Analytical, Adaptable, and Empathetic. Analytical because I love data, Adaptable because I thrive in fast-paced tech environments, and Empathetic because I prioritize user experience and team dynamics.",2
HR,What are three words to describe yourself?,"Smart, fast, good.",1
HR,What are three words to describe yourself?,"Cool, fun, tired.",0
Technical,What is Agile methodology?,"Agile is an iterative approach to project management and software development that helps teams deliver value to their customers faster and with fewer headaches. Requirements, plans, and results are evaluated continuously so teams have a natural mechanism for responding to change quickly.",2
Technical,What is Agile methodology?,"It is a way to manage projects fast.",1
Technical,What is Agile methodology?,"It means running fast.",0
Behavioral,Tell me about a time you improved a process.,"Our deployment process used to take 2 hours and involved manual file copying. I wrote a bash script to automate the build and transfer process, and integrated it with Jenkins. This reduced deployment time to 15 minutes and eliminated human error.",2
Behavioral,Tell me about a time you improved a process.,"I made the meetings shorter.",1
Behavioral,Tell me about a time you improved a process.,"I stopped doing the hard work.",0
Technical,What is a firewall?,"A firewall is a network security device that monitors and filters incoming and outgoing network traffic based on an organization's previously established security policies. It acts as a barrier between a private internal network and the public internet.",2
Technical,What is a firewall?,"It protects the computer from viruses.",1
Technical,What is a firewall?,"It is a wall of fire.",0
HR,Why should we hire you?,"You should hire me because I have the exact skill set you need—Python and AWS—plus a proven track record of delivering projects on time. I don't just write code; I understand the business value behind it. I am ready to hit the ground running on day one.",2
HR,Why should we hire you?,"Because I am good at coding.",1
HR,Why should we hire you?,"I need the money.",0
Technical,What is a binary tree?,"A binary tree is a tree data structure in which each node has at most two children, which are referred to as the left child and the right child. It is used for efficient searching and sorting algorithms.",2
Technical,What is a binary tree?,"It is a tree with two branches.",1
Technical,What is a binary tree?,"It is a tree made of zeros and ones.",0
Behavioral,Give an example of how you used data to make a decision.,"We noticed a drop in user retention. I analyzed the user logs and found that 60% of drop-offs happened at the registration page. We A/B tested a simplified signup form versus the original. The data showed the simplified form increased conversions by 15%, so we implemented that one.",2
Behavioral,Give an example of how you used data to make a decision.,"I looked at the numbers and decided to change the design.",1
Behavioral,Give an example of how you used data to make a decision.,"I guessed based on what looked cool.",0
Technical,What is latency?,"Latency is the time delay between the cause and the effect of some physical change in the system being observed. In networking, it is the time it takes for a data packet to travel from the source to the destination.",2
Technical,What is latency?,"It is how slow the internet is.",1
Technical,What is latency?,"It is being late.",0
HR,What is your dream job?,"My dream job is a role where I can combine my technical skills with my passion for education. Ideally, I'd like to lead a team that builds educational software for under-resourced schools, making a real social impact.",2
HR,What is your dream job?,"Being a professional gamer.",1
HR,What is your dream job?,"Not working.",0
Technical,What is load balancing?,"Load balancing is the process of distributing network traffic across multiple servers. This ensures no single server bears too much demand. It improves application responsiveness and increases availability of applications for users.",2
Technical,What is load balancing?,"It keeps the servers balanced.",1
Technical,What is load balancing?,"It is weighing the computer.",0
Behavioral,Tell me about a time you had to deliver bad news.,"I had to tell a client that their feature request would not make it into the current release due to stability issues. I explained the risks of rushing it, provided a concrete timeline for when it would be ready, and offered a workaround in the meantime. They appreciated the honesty.",2
Behavioral,Tell me about a time you had to deliver bad news.,"I told the client we couldn't do it.",1
Behavioral,Tell me about a time you had to deliver bad news.,"I sent an email and hid.",0
Technical,What is a microservice?,"Microservices is an architectural style that structures an application as a collection of services that are highly maintainable and testable, loosely coupled, independently deployable, and organized around business capabilities.",2
Technical,What is a microservice?,"It is a small service.",1
Technical,What is a microservice?,"It is a tiny computer.",0
HR,How do you prioritize multiple deadlines?,"I use the Eisenhower Matrix to categorize tasks by urgency and importance. I tackle the urgent and high-impact items first. If two deadlines conflict, I speak with my manager immediately to determine which project takes precedence.",2
HR,How do you prioritize multiple deadlines?,"I try to do everything at once.",1
HR,How do you prioritize multiple deadlines?,"I flip a coin.",0
Technical,What is machine learning?,"Machine learning is a subset of artificial intelligence that involves training algorithms to learn patterns from data and make predictions or decisions without being explicitly programmed for each specific rule.",2
Technical,What is machine learning?,"It is when robots learn.",1
Technical,What is machine learning?,"It is sci-fi stuff.",0
Behavioral,Describe a time you were creative.,"We needed to demo a mobile app but the projector broke. I quickly set up a screen mirroring session on my laptop and invited everyone to a Zoom call so they could see my screen on their own devices. The demo went smoothly despite the hardware failure.",2
Behavioral,Describe a time you were creative.,"I drew a picture for a presentation.",1
Behavioral,Describe a time you were creative.,"I lied to get out of trouble.",0
Technical,What is the kernel?,"The kernel is the central component of an operating system. It manages the system's resources and the communication between hardware and software components. It handles memory management, process management, and disk management.",2
Technical,What is the kernel?,"It is the core of the OS.",1
Technical,What is the kernel?,"It is popcorn.",0
HR,What is your notice period?,"I have a standard 2-week notice period at my current job. I am committed to documenting my work and ensuring a smooth handover during that time before starting here.",2
HR,What is your notice period?,"I can start whenever you want.",1
HR,What is your notice period?,"I'll just quit today.",0
Technical,What is Cross-Site Scripting (XSS)?,"XSS is a security vulnerability where an attacker injects malicious scripts into content from otherwise trusted websites. This happens when an application includes untrusted data in a web page without proper validation or escaping.",2
Technical,What is Cross-Site Scripting (XSS)?,"It is when a hacker changes your website code.",1
Technical,What is Cross-Site Scripting (XSS)?,"It is a font style.",0
Behavioral,Describe a time you had to mentor someone.,"We hired a junior developer who was struggling with our Git workflow. I set up daily 15-minute syncs to review his PRs together, explaining the 'why' behind each comment. Within a month, his code quality improved significantly and he began reviewing others' code.",2
Behavioral,Describe a time you had to mentor someone.,"I showed the new guy where the coffee machine was.",1
Behavioral,Describe a time you had to mentor someone.,"I don't like teaching people.",0
Technical,What is a Stack data structure?,"A Stack is a linear data structure that follows the LIFO (Last In, First Out) principle. The last element added to the stack is the first one to be removed. It supports operations like push (add) and pop (remove).",2
Technical,What is a Stack data structure?,"It is a pile of data.",1
Technical,What is a Stack data structure?,"It is used to stack money.",0
HR,How do you handle feedback you disagree with?,"I listen to the feedback first to understand the perspective. If I disagree, I ask for specific examples to clarify the issue. If I still feel the feedback is inaccurate, I calmly present my evidence, but I ultimately respect the manager's decision and try to find a middle ground.",2
HR,How do you handle feedback you disagree with?,"I just ignore it if it's wrong.",1
HR,How do you handle feedback you disagree with?,"I argue until they agree with me.",0
Technical,What is CI/CD?,"CI/CD stands for Continuous Integration and Continuous Deployment (or Delivery). It is a set of practices that automates the building, testing, and deployment of applications. It bridges the gap between development and operation activities.",2
Technical,What is CI/CD?,"It makes the code go live automatically.",1
Technical,What is CI/CD?,"It is a music player.",0
Behavioral,Tell me about a time you had to say 'no' to a stakeholder.,"A product manager wanted to add a complex feature two days before code freeze. I explained that doing so would jeopardize the stability of the release and potentially introduce bugs. I proposed adding it to the very next sprint instead, and she agreed.",2
Behavioral,Tell me about a time you had to say 'no' to a stakeholder.,"I told them we couldn't do it because we didn't have time.",1
Behavioral,Tell me about a time you had to say 'no' to a stakeholder.,"I just didn't do it.",0
Technical,What is the difference between a process and a thread?,"A process is an instance of a program in execution with its own memory space, while a thread is the smallest unit of execution within a process. Threads share the memory and resources of the process they belong to, making them more lightweight than processes.",2
Technical,What is the difference between a process and a thread?,"Processes are big and threads are small.",1
Technical,What is the difference between a process and a thread?,"A thread is for clothes.",0
HR,What are your salary requirements?,"I am flexible, but based on the responsibilities of this role and my technical background, I am targeting a range of $85,000 to $95,000 annually.",2
HR,What are your salary requirements?,"Whatever you pay is fine.",1
HR,What are your salary requirements?,"I want to be paid in cash.",0
Technical,What is SQL injection?,"SQL injection is a code injection technique where an attacker executes malicious SQL statements that control a web application's database server. It can be prevented by using prepared statements or parameterized queries.",2
Technical,What is SQL injection?,"It is hacking the database.",1
Technical,What is SQL injection?,"It is a medical shot.",0
Behavioral,Describe a time you innovated.,"Our data processing script was taking 4 hours to run. I realized we were processing data sequentially. I rewrote the script using Python's multiprocessing library to run in parallel, which cut the runtime down to 45 minutes.",2
Behavioral,Describe a time you innovated.,"I used a new font for the presentation.",1
Behavioral,Describe a time you innovated.,"I invented the internet.",0
Technical,What is a REST API?,"REST (Representational State Transfer) is an architectural style for providing standards between computer systems on the web, making it easier for systems to communicate. It typically uses standard HTTP methods like GET, POST, PUT, and DELETE.",2
Technical,What is a REST API?,"It is a way for websites to talk.",1
Technical,What is a REST API?,"It is when the API sleeps.",0
HR,Why is there a gap in your resume?,"After my last role, I took a deliberate break to travel and recharge. During the last two months of that break, I focused on upskilling in Cloud Architecture and obtained my Azure certification to prepare for my next career step.",2
HR,Why is there a gap in your resume?,"I couldn't find a job.",1
HR,Why is there a gap in your resume?,"I was in jail.",0
Technical,What is the 'final' keyword in Java?,"The 'final' keyword is a non-access modifier used to restrict the user. A final variable cannot be re-assigned, a final method cannot be overridden, and a final class cannot be extended (inherited).",2
Technical,What is the 'final' keyword in Java?,"It means the code is done.",1
Technical,What is the 'final' keyword in Java?,"It is the last line of code.",0
Behavioral,How do you handle ambiguity in a project?,"I start by listing what is known and what is unknown. Then, I set up a meeting with stakeholders to clarify the requirements. If answers aren't immediately available, I make reasonable assumptions, document them, and proceed with a prototype to get feedback early.",2
Behavioral,How do you handle ambiguity in a project?,"I wait for someone to tell me what to do.",1
Behavioral,How do you handle ambiguity in a project?,"I guess and hope for the best.",0
Technical,What is a linked list?,"A linked list is a linear data structure where elements are not stored in contiguous memory locations. Instead, each element (node) points to the next, consisting of data and a reference (link) to the next node.",2
Technical,What is a linked list?,"It is a list of links.",1
Technical,What is a linked list?,"It is a website menu.",0
HR,What is your preferred management style?,"I prefer a manager who sets clear goals and expectations but gives me the autonomy to determine how to achieve them. I also value regular 1:1s for feedback and career development discussions.",2
HR,What is your preferred management style?,"I like a boss who leaves me alone.",1
HR,What is your preferred management style?,"I don't like managers.",0
Technical,What is Docker Compose?,"Docker Compose is a tool for defining and running multi-container Docker applications. You use a YAML file to configure your application's services, and then with a single command, you create and start all the services from your configuration.",2
Technical,What is Docker Compose?,"It helps run Docker containers.",1
Technical,What is Docker Compose?,"It writes music.",0
Behavioral,Tell me about a time you made a tough decision.,"We had to choose between two vendors. One was cheaper but had poor support; the other was expensive but reliable. I analyzed the long-term cost of potential downtime and convinced management to go with the more expensive, reliable vendor. It paid off when we had zero downtime during peak season.",2
Behavioral,Tell me about a time you made a tough decision.,"I had to fire someone once.",1
Behavioral,Tell me about a time you made a tough decision.,"Deciding what to eat for lunch.",0
Technical,What is a singleton pattern?,"The Singleton pattern is a software design pattern that restricts the instantiation of a class to one 'single' instance. It is useful when exactly one object is needed to coordinate actions across the system, like a database connection pool.",2
Technical,What is a singleton pattern?,"It means only one class exists.",1
Technical,What is a singleton pattern?,"It is a dating app algorithm.",0
HR,How soon can you join?,"I have a two-week notice period to serve at my current organization. I can join immediately after that is completed.",2
HR,How soon can you join?,"Tomorrow.",1
HR,How soon can you join?,"I don't know.",0
Technical,What is recursion vs iteration?,"Recursion is when a function calls itself to solve a problem, while iteration uses loops (like for or while) to repeat a block of code. Recursion is often cleaner for tree traversals, while iteration is generally more memory efficient.",2
Technical,What is recursion vs iteration?,"Recursion is a loop and iteration is a loop too.",1
Technical,What is recursion vs iteration?,"They are opposites.",0
Behavioral,Describe a time you worked with a cross-functional team.,"I worked with marketing and sales to launch a new product feature. I organized a weekly sync to ensure the technical implementation matched the marketing promises. This alignment prevented over-promising to customers and resulted in a successful launch.",2
Behavioral,Describe a time you worked with a cross-functional team.,"I talked to the marketing guys once.",1
Behavioral,Describe a time you worked with a cross-functional team.,"I stay in my lane.",0
Technical,What is git merge vs git rebase?,"'Git merge' creates a new commit that combines the histories of two branches. 'Git rebase' moves the entire branch to begin on the tip of the upstream branch, creating a linear history. Rebase is cleaner but can be dangerous on shared branches.",2
Technical,What is git merge vs git rebase?,"Merge combines code, rebase changes history.",1
Technical,What is git merge vs git rebase?,"Rebase is for databases.",0
HR,What do you know about our company?,"I know you recently acquired TechSoft to expand your AI capabilities. I've also read about your commitment to carbon neutrality by 2030, which I find very impressive. I'm excited about the direction you are taking in the fintech space.",2
HR,What do you know about our company?,"You guys sell software.",1
HR,What do you know about our company?,"I didn't check.",0
Technical,What is polymorphism?,"Polymorphism in OOP allows objects of different classes to be treated as objects of a common superclass. It allows methods to do different things based on the object it is acting upon, typically achieved through method overriding or overloading.",2
Technical,What is polymorphism?,"It means many shapes.",1
Technical,What is polymorphism?,"It is a shape shifter.",0
Behavioral,Tell me about a time you missed a deadline.,"I underestimated the time needed to debug a legacy codebase and missed a deadline by two days. I communicated the delay as soon as I realized it, worked extra hours to finish it, and then updated our estimation process to include a buffer for legacy code tasks.",2
Behavioral,Tell me about a time you missed a deadline.,"I was late because the code was hard.",1
Behavioral,Tell me about a time you missed a deadline.,"It wasn't my fault.",0
Technical,What is an abstract class?,"An abstract class is a class that cannot be instantiated on its own and is meant to be subclassed. It can contain both abstract methods (without implementation) and concrete methods (with implementation).",2
Technical,What is an abstract class?,"It is a class you can't use.",1
Technical,What is an abstract class?,"It is a theoretical class.",0
HR,Why do you want this job?,"I want this job because it perfectly intersects my experience in Python development with my interest in healthcare technology. I am eager to apply my skills to improve patient outcomes, which is the core mission of your team.",2
HR,Why do you want this job?,"I need a job.",1
HR,Why do you want this job?,"My parents told me to apply.",0
Technical,What is the difference between TCP and UDP?,"TCP is connection-oriented and ensures reliable delivery and ordering of packets (good for web/email). UDP is connectionless and does not guarantee delivery (good for streaming/gaming where speed matters more than accuracy).",2
Technical,What is the difference between TCP and UDP?,"TCP is safe, UDP is fast.",1
Technical,What is the difference between TCP and UDP?,"UDP is for USB drives.",0
Behavioral,How do you handle stress at work?,"I break complex tasks into smaller, manageable steps and prioritize them. I also make sure to take short breaks to clear my head. If the workload becomes unmanageable, I communicate with my manager to adjust priorities.",2
Behavioral,How do you handle stress at work?,"I just work harder.",1
Behavioral,How do you handle stress at work?,"I quit.",0
Technical,What is a key-value store?,"A key-value store is a type of NoSQL database where data is stored as a collection of key-value pairs. It is highly performant for lookups and is often used for caching sessions or user preferences (e.g., Redis, DynamoDB).",2
Technical,What is a key-value store?,"It stores keys and values.",1
Technical,What is a key-value store?,"It is a store that sells keys.",0
HR,What is your greatest strength?,"My greatest strength is my adaptability. In my last role, our tech stack changed from Java to Kotlin. I quickly learned the new language and became the go-to person for Kotlin best practices within two months.",2
HR,What is your greatest strength?,"I am good at coding.",1
HR,What is your greatest strength?,"Bench press.",0
Technical,What is the purpose of the 'finally' block?,"The 'finally' block in exception handling is used to execute important code such as closing connections or releasing resources, regardless of whether an exception was handled or not. It always executes.",2
Technical,What is the purpose of the 'finally' block?,"It is the end of the code.",1
Technical,What is the purpose of the 'finally' block?,"It finishes the program.",0
Behavioral,Describe a time you used persuasion.,"My team was hesitant to adopt unit testing due to tight deadlines. I persuaded them by running a pilot on a small module, which showed a 40% reduction in bugs during QA. The data convinced them to adopt it for the main project.",2
Behavioral,Describe a time you used persuasion.,"I told them to do it my way.",1
Behavioral,Describe a time you used persuasion.,"I yelled.",0
Technical,What is a foreign key?,"A foreign key is a column or group of columns in a relational database table that provides a link between data in two tables. It acts as a cross-reference between tables because it references the primary key of another table.",2
Technical,What is a foreign key?,"It links tables.",1
Technical,What is a foreign key?,"It is a key from another server.",0
HR,Where do you see yourself in 5 years?,"I see myself growing into a lead architect role. I want to have mastered cloud-native technologies and be in a position where I can mentor junior developers and drive technical strategy for the company.",2
HR,Where do you see yourself in 5 years?,"In a better job.",1
HR,Where do you see yourself in 5 years?,"Retired.",0
Technical,What is encapsulation?,"Encapsulation is an OOP concept that bundles data (variables) and methods (functions) together within a class, and restricts direct access to some of an object's components. It protects the integrity of the data.",2
Technical,What is encapsulation?,"It is putting code in a capsule.",1
Technical,What is encapsulation?,"It is medication.",0
Behavioral,Tell me about a conflict you had with a coworker.,"My coworker and I disagreed on the database schema design. We were at a stalemate, so we agreed to whiteboard both solutions and list the pros and cons. We realized a hybrid approach worked best, and we implemented that successfully.",2
Behavioral,Tell me about a conflict you had with a coworker.,"We argued about code.",1
Behavioral,Tell me about a conflict you had with a coworker.,"I don't have conflicts.",0
Technical,What is dependency injection?,"Dependency Injection is a design pattern where an object receives other objects that it depends on (dependencies) from an external source, rather than creating them itself. This promotes loose coupling and easier testing.",2
Technical,What is dependency injection?,"It is injecting code.",1
Technical,What is dependency injection?,"It is a virus.",0
HR,What motivates you?,"I am motivated by solving complex problems that have a tangible impact on users. Seeing a feature I built being used to solve a real-world issue gives me a great sense of accomplishment.",2
HR,What motivates you?,"Money.",1
HR,What motivates you?,"Going home.",0
Technical,What is the difference between a list and a set?,"A list is an ordered collection of elements that allows duplicates. A set is an unordered collection of unique elements; it does not allow duplicates.",2
Technical,What is the difference between a list and a set?,"Lists are ordered, sets are not.",1
Technical,What is the difference between a list and a set?,"They are the same.",0
Technical,What is the Global Interpreter Lock (GIL) in Python?,"The GIL is a mutex that allows only one thread to hold the control of the Python interpreter. This means that only one thread can be in a state of execution at any point in time. The impact of the GIL isn't visible to developers who execute single-threaded programs, but it can be a performance bottleneck in CPU-bound and multi-threaded code.",2
Technical,What is the Global Interpreter Lock (GIL) in Python?,"It locks the interpreter so only one thing runs at a time.",1
Technical,What is the Global Interpreter Lock (GIL) in Python?,"It is a security lock for the code.",0
HR,How do you handle tight deadlines?,"I prioritize my tasks using the MoSCoW method (Must have, Should have, Could have, Won't have). I communicate early with stakeholders if I foresee any risks to the critical path, and I focus on delivering a Minimum Viable Product (MVP) first to ensure the core value is delivered on time.",2
HR,How do you handle tight deadlines?,"I just work faster and stay late.",1
HR,How do you handle tight deadlines?,"I hate deadlines.",0
Behavioral,Describe a time you solved a conflict within your team.,"Two developers on my team were arguing about which framework to use. I facilitated a meeting where we listed the pros and cons of each relative to our specific project requirements. We realized that neither was perfect, but one had better long-term support. We agreed to move forward with that one, and the team aligned behind the decision.",2
Behavioral,Describe a time you solved a conflict within your team.,"I told them to stop fighting and just pick one.",1
Behavioral,Describe a time you solved a conflict within your team.,"I ignored it.",0
Technical,What is the difference between a process and a thread?,"A process is an instance of a computer program that is being executed. It contains the program code and its current activity. A thread is the smallest unit of processing that can be performed in an OS. Threads exist within a process and share the process's resources, whereas processes are independent.",2
Technical,What is the difference between a process and a thread?,"Threads are smaller than processes.",1
Technical,What is the difference between a process and a thread?,"A thread is for sewing.",0
HR,Why do you want to leave your current role?,"I've learned a lot about legacy systems in my current role, but I'm looking to transition into a more cloud-native environment. Your company's use of Kubernetes and microservices is exactly the direction I want to take my career.",2
HR,Why do you want to leave your current role?,"I'm bored.",1
HR,Why do you want to leave your current role?,"My boss is a nightmare.",0
Technical,What is a closure in JavaScript?,"A closure is the combination of a function bundled together (enclosed) with references to its surrounding state (the lexical environment). In other words, a closure gives you access to an outer function's scope from an inner function.",2
Technical,What is a closure in JavaScript?,"It is a function inside another function.",1
Technical,What is a closure in JavaScript?,"It closes the browser window.",0
Behavioral,Tell me about a time you failed to meet a goal.,"I missed a quarterly sales target because I spent too much time on a few large prospects that didn't convert. I learned to diversify my pipeline and not rely on 'whales.' The next quarter, I focused on a higher volume of mid-sized deals and exceeded my target by 15%.",2
Behavioral,Tell me about a time you failed to meet a goal.,"I didn't hit my numbers once. It happens.",1
Behavioral,Tell me about a time you failed to meet a goal.,"I never fail.",0
Technical,What is the difference between UNION and UNION ALL in SQL?,"UNION combines the result set of two or more SELECT statements and removes duplicate rows. UNION ALL does the same but includes all duplicates. Because UNION requires a distinct sort to remove duplicates, UNION ALL is generally faster.",2
Technical,What is the difference between UNION and UNION ALL in SQL?,"One removes duplicates and the other keeps them.",1
Technical,What is the difference between UNION and UNION ALL in SQL?,"They are the same command.",0
HR,What is your expected salary?,"Based on the market rate for a Senior Engineer in this city and my 6 years of experience, I am looking for a base salary in the range of $110,000 to $120,000, negotiable based on the total compensation package.",2
HR,What is your expected salary?,"Around $100k.",1
HR,What is your expected salary?,"I want a lot of money.",0
Technical,Explain the concept of 'hoisting' in JavaScript.,"Hoisting is JavaScript's default behavior of moving declarations to the top of the current scope (script or function) before code execution. This means a variable can be used before it has been declared, although only the declaration is hoisted, not the initialization.",2
Technical,Explain the concept of 'hoisting' in JavaScript.,"It moves variables to the top.",1
Technical,Explain the concept of 'hoisting' in JavaScript.,"It lifts the code up.",0
