question,ideal_answer,user_answer,label
How do you handle disagreement with your boss?,"I express my opinion respectfully and back it up with data or examples. However, if the decision is final, I commit to the chosen path and support the team fully.",I tell him he is wrong and do it my way anyway.,0
How do you handle excitement?,I channel my excitement into my work. It gives me energy to tackle difficult tasks.,I jump around.,0
How do you handle failure?,"I analyze what went wrong to understand the root cause, learn from the mistake, and apply those lessons to future attempts. I don't let it discourage me but rather use it as a stepping stone.",I cry and blame others.,0
How do you handle fear?,I acknowledge the fear but don't let it stop me. I prepare as best I can and then take action.,I run away.,0
How do you handle feedback from a client?,I accept feedback professionally and objectively. I ask clarifying questions to ensure I understand their needs and then outline a plan to incorporate their changes.,"I take client feedback seriously and don't get defensive. I ask questions to be sure I get it, then I make a plan to make the changes.",2
How do you handle feedback from a peer?,I listen openly and ask for clarification if needed. I thank them for their perspective and evaluate how I can incorporate their suggestions to improve my work or our collaboration.,I ignore it if they are not my boss.,0
How do you handle feedback you disagree with?,"I listen respectfully and ask for examples to understand their perspective. If I still disagree, I explain my reasoning calmly but acknowledge their point of view.",I argue until they agree with me.,0
How do you handle feedback?,"I listen, reflect, and act. I view feedback as a gift that helps me improve.",I say thanks.,1
How do you handle learning?,I read and practice.,I read.,1
How do you handle multiple deadlines falling on the same day?,"I prioritize tasks based on impact and communicate with my managers early if I foresee any issues, negotiating extensions where possible.",I just pick the one I like the most and do that one. The others can wait.,0
How do you handle negative feedback?,I listen to understand the perspective of the person giving feedback. I don't get defensive. I ask questions to clarify and then make a plan to address the issues raised.,I ignore it if I don't agree with it.,0
How do you handle office politics?,I try to stay neutral and focus on my work. I build positive relationships with everyone and avoid gossip.,I play the game.,0
How do you handle pressure?,"I take a deep breath, prioritize my tasks, and focus on one thing at a time. I also communicate with my team if I need support.",I panic.,0
How do you handle rejection from a job application?,I ask for feedback to understand where I fell short. I use that feedback to improve my skills or interview technique for the next opportunity.,I get sad.,1
How do you handle rejection?,I try not to take it personally. I ask for feedback to understand why I was rejected and use that information to improve for the next opportunity.,I get angry and give up.,0
How do you handle repetitive tasks?,"I look for ways to automate repetitive tasks using scripts or macros. If automation isn't possible, I batch the tasks together and listen to music to maintain focus and efficiency.",I hate them. I try to get someone else to do them.,0
How do you handle sadness?,"I allow myself to feel it, but I don't let it affect my work performance. I seek support from friends and family outside of work.",I cry at work.,0
How do you handle scope creep?,"I manage scope creep by clearly defining the project requirements upfront. If new requests come in, I evaluate their impact on the timeline and budget, then communicate the trade-offs to stakeholders before approval.","I deal with scope changes by referring to the original plan. If extra features are added, I analyze how they affect deadlines and costs, and get approval from stakeholders before proceeding.",2
How do you handle stress at work?,I take short breaks to stretch and clear my head. I also make sure to prioritize my tasks so I'm not trying to do everything at once.,I yell at people.,0
How do you handle stress?,I handle stress by staying organized and breaking large tasks into smaller steps. I also ensure I take short breaks to clear my head and exercise regularly to maintain mental resilience.,I just power through it. Stress motivates me to work harder and faster.,1
How do you handle success?,I celebrate with my team and acknowledge everyone's contributions. I also take time to reflect on what went well so we can repeat it.,I brag about it.,0
How do you handle tight deadlines?,"I assess the scope and resources immediately. If the deadline is unrealistic, I negotiate with stakeholders to prioritize must-have features (MVP) and defer nice-to-haves, ensuring the core product is delivered on time.",I work nights and weekends to make sure it gets done. I don't sleep until it's finished.,1
How do you handle work-life balance?,"I set strict boundaries by not checking work emails after hours. I prioritize my health and family time, which allows me to return to work recharged and more productive.",I don't believe in work-life balance. Work is life.,0
How do you handle work?,I do it.,I work.,1
How do you maintain motivation during a long project?,I break the project into smaller milestones and celebrate small wins along the way. I also focus on the end goal and the value the project will bring to the users.,"I get bored easily, so I usually ask to switch projects halfway through.",0
How do you manage conflict in a remote team?,"I hop on a video call to discuss the issue face-to-face rather than relying on text, which can be misinterpreted. I ensure everyone feels heard and we work together to find a solution.",I send angry emails.,0
How do you manage your time effectively?,I use time-blocking to dedicate specific hours to deep work and leave other slots open for meetings and emails. I also review my priorities at the start of every day to ensure I am working on high-value tasks.,I try to work as fast as I can so I can finish everything.,1
How do you manage your time?,I use the Pomodoro technique to stay focused and time-blocking to ensure I dedicate enough time to deep work. I also minimize distractions by turning off notifications.,I work fast.,1
How do you prepare for a presentation?,"I outline my key points, create visual aids, and practice my delivery several times to ensure I stay within the time limit.",I just wing it and hope people don't ask questions.,0
How do you prioritize features in a product roadmap?,"I prioritize based on a combination of user value, business goals, and technical feasibility. I often use frameworks like RICE (Reach, Impact, Confidence, Effort) to score and rank features objectively.",I pick the features that look the coolest to build.,0
How do you prioritize features?,"I use the MoSCoW method (Must have, Should have, Could have, Won't have) to categorize features based on business value and user needs, ensuring critical items are built first.","I rank features by how important they are to the business and the user, making sure we build the essential things first.",2
How do you prioritize multiple urgent tasks?,I evaluate the impact of each task on the business goals and the severity of the consequences if missed. I then communicate with stakeholders to realign expectations and tackle the most critical item first.,I do the easiest one first.,1
How do you prioritize tasks when you have multiple tight deadlines?,"I use the Eisenhower Matrix to categorize tasks by urgency and importance. I communicate with stakeholders to align expectations, delegate where possible, and focus on high-impact activities first to ensure critical deadlines are met.",I usually just panic a little bit and then try to do the easiest things first to get them out of the way.,1
How do you prioritize your day?,I start by reviewing my calendar and to-do list. I identify the top 3 most important tasks and block out time to work on them before checking emails or Slack.,I do whatever is easiest.,0
How do you prioritize your work?,I use a to-do list and rank tasks by urgency and importance. I tackle the most critical items first and review my list throughout the day to adjust for any new incoming requests.,I just do whatever comes to my mind first.,1
How do you stay current with technology?,"I follow tech blogs like TechCrunch, take courses on Coursera, and work on side projects to experiment with new languages and frameworks.",I don't really try.,0
How do you stay focused?,I minimize distractions by turning off notifications during deep work sessions. I also set clear goals for what I want to accomplish in each session.,I drink a lot of coffee.,1
How do you stay motivated when work is repetitive?,I try to gamify the tasks or find ways to automate them. I also focus on the bigger picture and how my work contributes to the team's success.,I watch Netflix.,0
How do you stay motivated?,I set personal goals and track my progress. I also try to find the interesting aspects of even the most mundane tasks.,I need money.,1
How do you stay organized with multiple deadlines?,"I use a Kanban board to visualize my tasks and their status. I prioritize based on due dates and dependencies, and I block out focused time on my calendar for deep work.",I keep track of my work using a visual board and rank tasks by when they are due. I also schedule specific times in my day to focus on the most important work.,2
How do you stay organized with multiple projects?,"I use a project management tool like Jira to track tasks and status. I set daily goals and block out time for deep work, ensuring that I make progress on all active projects without context switching too often.",I keep it all in my head.,0
How do you stay organized?,I use a combination of digital tools like Trello for project tracking and a daily planner for time management. I also adhere to a 'clean desk' policy to minimize distractions.,"I have a good memory, so I don't need to write things down.",0
How do you stay productive working from home?,I have a dedicated workspace and stick to a strict schedule. I also make sure to communicate frequently with my team to stay aligned.,I watch TV sometimes.,0
How do you stay updated with industry trends?,"I subscribe to key industry newsletters, attend webinars, and participate in local meetups. I also dedicate two hours a week to reading technical documentation and experimenting with new tools.",I follow some people on Twitter and read news articles when they pop up on my feed.,1
How do you work with others?,I am collaborative and respectful. I believe in open communication and sharing credit for team successes.,I work well with others.,1
Tell me about a time you automated a task.,"I wrote a Python script to scrape daily stock prices and email a summary report to my team, saving us about 30 minutes of manual data entry every morning.",I made a shortcut on my desktop.,0
Tell me about a time you collaborated with a difficult person.,I worked with a designer who was very protective of his work. I focused on building rapport and showing him that my technical constraints were not personal attacks. We eventually found a rhythm and launched a great product.,I just did what he wanted.,0
Tell me about a time you collaborated.,"I worked with the marketing team to align our product launch. We shared insights and coordinated our schedules, resulting in a seamless release and high user engagement.","I teamed up with marketing for a launch. We worked together on the timing and message, which made the release a success.",2
Tell me about a time you delegated a task.,"I was leading a project and realized I couldn't do the coding and the documentation. I asked a junior developer to handle the documentation, provided him with a template, and reviewed his work. It empowered him and freed me up to focus on the core logic.",I gave my work to someone else because I was lazy.,0
Tell me about a time you demonstrated leadership skills.,"During a project where our team lead fell ill, I stepped up to coordinate our daily stand-ups and managed the task distribution. I ensured everyone knew their responsibilities, which allowed us to deliver the project on time despite the setback.",I am a natural leader. I always tell people what to do because I usually know the best way to solve problems.,0
Tell me about a time you exceeded a goal.,"My goal was to increase newsletter signups by 10%. I ran A/B tests on the landing page and optimized the copy, resulting in a 25% increase.",I did good.,0
Tell me about a time you exceeded expectations.,My manager asked for a report on sales data. I not only provided the data but also created a visualization dashboard that updated in real-time. The team now uses this dashboard daily.,I did my job well.,1
Tell me about a time you failed to meet a goal.,"I missed a sales target last quarter. I analyzed my approach, identified where I lost leads, and adjusted my strategy to exceed the target this quarter.",I tried to jump over a fence and fell down.,0
Tell me about a time you failed.,"I once missed a critical bug in a software release because I rushed the testing phase. It caused downtime for clients. I took responsibility, fixed the issue immediately, and implemented a more rigorous QA checklist to ensure it never happened again.","I don't really fail often. I am a perfectionist, so I make sure everything is right before I finish.",0
Tell me about a time you had to adapt to a major change.,"When our company merged with another, our entire workflow changed. I embraced the new project management tools immediately, attended all training sessions, and helped my reluctant team members navigate the transition smoothly.","I had to move my desk to a different floor once. It was annoying, but I got used to it.",1
Tell me about a time you had to adapt to change.,Our company switched project management tools overnight. I quickly learned the new system and helped train my teammates.,I changed my shirt because I spilled coffee on it.,0
Tell me about a time you had to correct a colleague.,I noticed a colleague was using a deprecated library. I privately messaged them and explained why we switched and sent a link to the new documentation. They thanked me for saving them time later.,I told everyone they were wrong.,0
Tell me about a time you had to deliver bad news.,"We had to delay a highly anticipated feature release. I gathered the team, explained the technical blockers honestly, and presented a revised, realistic timeline. The stakeholders appreciated the transparency.",I sent an email on Friday afternoon so I wouldn't have to deal with the response until Monday.,0
Tell me about a time you had to give negative feedback.,"I had to tell a peer that their code comments were insufficient. I framed it around the difficulty I had understanding their logic during review, and they agreed to be more detailed in the future.",I told them their code was bad.,1
Tell me about a time you had to make a compromise.,"We wanted to rewrite a legacy module completely, but time was tight. I compromised by refactoring only the critical path to improve performance, leaving the rest for a later phase.","I wanted to redo the whole system, but we didn't have time. I settled for fixing just the most important parts now and saving the rest for later.",2
Tell me about a time you had to make a difficult decision.,"I had to decide whether to delay a launch to fix a non-critical but noticeable UI bug or launch on time. I chose to delay by 24 hours to ensure a polished user experience, which the client ultimately appreciated.",I had to fire someone once. It was hard.,1
Tell me about a time you had to motivate a team.,Our team was burnt out after a long sprint. I organized a team lunch to celebrate our small wins and reminded everyone of the positive impact our product was having on users. This boosted morale significantly.,I told them to work harder.,0
Tell me about a time you had to persuade someone.,"I had to persuade my manager to adopt a new testing framework. I prepared a presentation showing a cost-benefit analysis and a small prototype demonstrating how much time it would save. He agreed to a trial run, which was successful.","I told my boss we needed to change the software. He said no, so I just kept asking him until he said yes.",1
Tell me about a time you had to teach someone something.,I mentored a junior developer who was struggling with Git. I created a cheat sheet for him and pair-programmed for a week until he felt confident managing branches and merges on his own.,I told them to Google it.,0
Tell me about a time you handled a crisis.,Our payment gateway went down on Black Friday. I coordinated with the provider while keeping our leadership team updated every 15 minutes. We rerouted traffic to a backup provider within an hour.,I panicked but then someone else fixed it.,1
Tell me about a time you handled a difficult customer.,"I had a customer who was furious about a delayed shipment. I listened to their complaint without interrupting, apologized sincerely, and expedited a replacement shipment at no cost. They ended up leaving a positive review.",I hung up on them.,0
Tell me about a time you helped a coworker.,A coworker was overwhelmed with their workload. I offered to take on one of their smaller tasks so they could focus on a major deadline. They were able to finish on time and were very grateful.,I said hello to them.,0
Tell me about a time you helped a team member grow.,"I noticed a junior dev was shy during meetings. I encouraged him to present his work during our weekly demo. He was nervous, but I helped him prepare. He did great and gained a lot of confidence.",I told him to speak up.,1
Tell me about a time you improved a complex process.,"Our deployment process involved 10 manual steps. I created a CI/CD pipeline using Jenkins that automated the entire flow, reducing deployment time from 1 hour to 5 minutes.",I made it faster.,1
Tell me about a time you improved a process.,"I noticed we were manually backing up databases. I wrote a script to automate the backup and upload it to cloud storage, saving us an hour of manual work daily.","I automated our manual database backups with a script, which saved the team an hour of work every day.",2
Tell me about a time you improved a skill.,"I wanted to improve my public speaking. I joined a local Toastmasters club and practiced weekly. After six months, I was able to deliver a presentation to the entire company with confidence.",I practiced coding.,1
Tell me about a time you learned a new skill.,I taught myself graphic design using online tutorials to help our marketing team with social media assets.,I learned how to juggle three balls.,0
Tell me about a time you learned from a failure.,"I launched a product that didn't get any traction. I realized I hadn't done enough user research. I learned to validate ideas before building them, which has saved me time on future projects.",I failed and quit.,0
Tell me about a time you learned from a mistake.,I once underestimated the time needed for a task and missed a deadline. I learned to buffer my estimates and now I consistently deliver on time.,I learned to work harder.,1
Tell me about a time you made a mistake at work.,"I once deleted a production configuration file. I immediately notified the team, restored the backup, and implemented a safeguard to prevent it from happening again.",I don't make mistakes. I am perfect at everything I do.,0
Tell me about a time you received difficult feedback.,"My manager told me my presentations lacked clarity. I took the feedback to heart, joined a public speaking workshop, and structured my next presentation with a clear beginning, middle, and end. My manager noted the improvement immediately.",I got mad and told him he was wrong.,0
Tell me about a time you resolved a conflict.,"My designer and I disagreed on a UI element. I built a quick A/B test to see which version users preferred. The data showed his design was better, so we went with that.","We disagreed on a design, so I ran a test to see what users liked. The data supported his idea, so we used his design.",2
Tell me about a time you resolved a technical issue.,"I encountered a bug where the login page was timing out. I traced the logs and found a database lock issue. I optimized the query and added an index, which resolved the timeout and improved performance by 50%.",I fixed a bug on the website.,1
Tell me about a time you showed initiative.,"I noticed our documentation was outdated. I took it upon myself to update it during my downtime, which reduced support tickets by 10%.",I did extra work.,1
Tell me about a time you showed leadership.,"When our project lead was out sick, I stepped up to facilitate the daily stand-ups and coordinated the release deployment, ensuring the team stayed on track.",I took charge when our lead was ill. I ran the meetings and managed the release to make sure we didn't fall behind.,2
Tell me about a time you showed resilience.,"I was working on a project that was cancelled after months of work. Instead of being demoralized, I documented our findings and proposed how we could use components of the code for a different active project.",I kept working.,1
Tell me about a time you solved a complex problem.,I identified a memory leak in our application by analyzing the logs and refactored the code to optimize resource usage.,I finished a really hard Sudoku puzzle yesterday.,0
Tell me about a time you solved a problem creatively.,"We couldn't afford a professional photographer for our website. I used an AI image generator to create high-quality, custom assets that matched our brand perfectly.",I drew it myself.,0
Tell me about a time you took a calculated risk.,"We had a short window to launch a campaign. I decided to use a new, faster no-code tool instead of custom development. It was risky because we hadn't used it before, but I ran a pilot test first. The campaign launched on time and was a success.",I gambled on a stock.,0
Tell me about a time you took initiative.,"I noticed our documentation was outdated, leading to confusion for new hires. Without being asked, I spent my downtime updating the wiki, which reduced onboarding time by 20%.",I did my job exactly as I was told.,0
Tell me about a time you took ownership of a mistake.,"I accidentally deployed a bug to production. I immediately notified the team, rolled back the change, and wrote a post-mortem explaining how I would prevent it from happening again.",I blamed the intern.,0
Tell me about a time you were adaptable.,Our project scope changed halfway through. I quickly learned the new requirements and adjusted my code to fit the new direction without complaining.,I changed.,1
Tell me about a time you were articulate.,"I had to present a complex technical concept to the board of directors. I used simple language and clear visuals, and they understood it perfectly.",I spoke well.,1
Tell me about a time you were brave.,I spoke up in a meeting when I thought a decision was wrong.,I talked.,1
Tell me about a time you were careful.,I double-checked the numbers before sending the final invoice.,I looked.,1
Tell me about a time you were consistent.,I have arrived at work 15 minutes early every day for the past three years to plan my day. This consistency helps me stay ahead of my tasks.,I show up early every day to organize my work. This habit keeps me on top of things.,2
Tell me about a time you were creative.,"I needed to train a model with limited data. I used data augmentation techniques to artificially expand the dataset, which improved the model's accuracy by 15%.","I didn't have enough data, so I used augmentation to create more samples. This creative approach boosted the accuracy significantly.",2
Tell me about a time you were curious.,"I wanted to know how our product was made, so I asked the engineering team for a tour. It helped me sell it better.",I asked why.,1
Tell me about a time you were detail-oriented.,"I was reviewing a contract and noticed a small error in the pricing clause. I flagged it, and we got it corrected before signing, saving the company money.",I read it carefully.,1
Tell me about a time you were detailed oriented.,I found a small calculation error in a financial report during a peer review. Catching it prevented a significant discrepancy in the final audit.,I noticed a tiny math mistake in a report I was checking. Finding it saved us from a big problem later.,2
Tell me about a time you were determined.,I was determined to get a certification. I studied every night after work for three months and passed the exam with a high score.,I wanted a certificate bad. I studied every night for months and passed the test easily.,2
Tell me about a time you were dry.,I dried off after the rain.,I was dry.,1
Tell me about a time you were efficient.,"I created a template for our weekly reports. It cut the time it took to write them in half, allowing us to spend more time on analysis.",I worked fast.,1
Tell me about a time you were enthusiastic.,"I was really excited about a new project launch. my energy was contagious, and it helped motivate the rest of the team to put in the extra effort needed.",I was happy.,1
Tell me about a time you were fast.,I typed 100 words per minute to finish the report.,I typed fast.,1
Tell me about a time you were focused.,I had a tight deadline and needed to finish a report. I turned off my phone and email and worked for four hours straight until it was done.,I worked hard.,1
Tell me about a time you were helpful.,I saw a colleague struggling with a heavy box and stopped to help them carry it.,I helped someone.,1
Tell me about a time you were honest when it was difficult.,"I admitted to my boss that I didn't have the skills to complete a task on time and asked for help, rather than delivering poor work.",I told my friend her haircut looked bad.,0
Tell me about a time you were honest.,I found a wallet in the breakroom and turned it into security immediately. The owner was very grateful.,I told the truth.,1
Tell me about a time you were hot.,"I was hot during the summer, so I turned on the fan.",I sweat.,1
Tell me about a time you were influential.,"I convinced the team to adopt a new code review process by showing them data on how it would reduce bugs. They were skeptical at first but eventually agreed, and our code quality improved.",I made them do it.,0
Tell me about a time you were late.,"I was late once due to a flat tire, but I called ahead to let my manager know.",I slept in.,1
Tell me about a time you were low.,"I was low on energy, so I took a break.",I sat down.,1
Tell me about a time you were messy.,"I had a messy desk during a crunch period, but I cleaned it up immediately after the deadline.",I made a mess.,1
Tell me about a time you were observant.,"I noticed that a competitor changed their pricing. I alerted my team, and we were able to adjust our strategy to stay competitive.",I saw something.,1
Tell me about a time you were organized.,"I organized the company holiday party. I created a spreadsheet to track RSVPs, food allergies, and budget. The event went smoothly and was under budget.",I cleaned my desk.,1
Tell me about a time you were persistent.,"I was trying to close a sale with a client who was hesitant. I followed up with them for three months, answering all their questions and addressing their concerns until they finally signed the contract.",I kept calling.,1
Tell me about a time you were persuasive.,I convinced my manager to adopt a new testing framework by presenting a report on how it would reduce bugs and save development time in the long run.,I got my boss to agree to a new tool by showing him how it would save us time and fix more bugs.,2
Tell me about a time you were positive.,"During a tough crunch time, I brought in donuts for the team and kept the mood light with jokes. It helped keep morale up.",I smiled.,1
Tell me about a time you were proactive.,I noticed our server logs were filling up the disk. I set up a log rotation script before it caused an outage.,I deleted the logs.,1
Tell me about a time you were proud of your work.,I built a tool that automated a manual report generation process. It saved the team 5 hours a week and is still being used today. I was proud to see the impact of my efficiency.,I finished a project.,1
Tell me about a time you were proud.,I was proud when I launched my first app to the App Store. Seeing people download and use it was a great feeling.,I felt great when I released my first app. Watching people use it made me really happy.,2
Tell me about a time you were reliable.,I have never missed a day of work in three years without a valid medical reason. My team knows they can count on me to be there.,I showed up.,1
Tell me about a time you were resourceful.,"I needed to conduct a survey but had no budget for tools. I used free online forms and social media to gather responses, getting over 500 replies.",I used what I had.,1
Tell me about a time you were sad.,"I was sad when my project was cancelled, but I moved on to the next one.",I cried.,0
Tell me about a time you were smart.,I found a shortcut that saved us time.,I knew it.,1
Tell me about a time you were supportive.,My teammate was going through a hard time personally. I covered for him during a meeting so he could take a break. He really appreciated the gesture.,I was nice.,1
Tell me about a time you worked in a team.,"I collaborated with the design and marketing teams to launch a new product feature, ensuring all assets were ready by the deadline.",I prefer to work alone because other people just slow me down.,0
Tell me about a time you worked with a difficult manager.,I had a manager who was very critical. I proactively asked for feedback on my drafts to ensure I was meeting his expectations early on. This reduced revisions and improved our relationship.,I quit.,0
Tell me about a time you worked with a difficult person.,"I had a colleague who was very critical. I focused on building a professional relationship by asking for their advice, which shifted the dynamic from confrontation to mentorship.","I worked with someone critical. I asked for their help to build trust, and eventually, we got along much better.",2
What are the primary responsibilities of a Project Manager?,"A Project Manager is responsible for planning, executing, and closing projects. They manage scope, time, cost, quality, human resources, communications, risk, and procurement to ensure project goals are met.",Project managers plan things and tell people when the deadlines are.,1
What are your long-term career goals?,"In the next five years, I aim to grow into a senior technical leadership role. I want to deepen my expertise in cloud architecture and mentor junior developers to build high-performing teams.",I want to be the CEO of this company.,1
What are your salary expectations?,"Based on my research of the market rates for this role and my five years of experience, I am looking for a salary in the range of $80,000 to $90,000, though I am open to negotiation based on the total compensation package.",I want as much money as possible.,0
What are your strengths?,My greatest strength is my problem-solving ability and my persistence in finding solutions to complex technical issues.,I can bench press 200 pounds.,0
What are your weaknesses?,I sometimes have trouble delegating because I want to ensure the quality of work. I am working on this by trusting my team more and setting up clear check-in points rather than doing the work myself.,I work too hard and care too much.,0
What is 'Garbage Collection' in programming?,"Garbage collection is a form of automatic memory management. The garbage collector attempts to reclaim memory occupied by objects that are no longer in use by the program, preventing memory leaks.",It is when you delete old files from your computer to make space.,0
What is ACID in databases?,"ACID stands for Atomicity, Consistency, Isolation, and Durability. These are properties of database transactions intended to guarantee data validity despite errors or power failures.",It creates acid for the data.,0
What is Big Data?,"Big Data refers to extremely large data sets that may be analyzed computationally to reveal patterns, trends, and associations, especially relating to human behavior and interactions.",It is a lot of files.,1
What is Big O notation?,"Big O notation is a mathematical notation that describes the limiting behavior of a function when the argument tends towards a particular value or infinity. In CS, it is used to classify algorithms according to how their run time or space requirements grow as the input size grows.",It measures how big the code file is.,0
What is Bluetooth?,Bluetooth is a wireless technology standard used for exchanging data between fixed and mobile devices over short distances using UHF radio waves.,It is a blue tooth.,0
What is CI/CD?,CI/CD stands for Continuous Integration and Continuous Delivery/Deployment. It is a method to frequently deliver apps to customers by introducing automation into the stages of app development.,"It stands for Continuous Integration and Continuous Delivery, automating the software release process.",2
What is CSS used for?,"CSS (Cascading Style Sheets) is used for describing the presentation of a document written in a markup language like HTML. It handles the layout, colors, and fonts of a webpage.",It makes the website look pretty.,1
What is CSS?,CSS (Cascading Style Sheets) is a style sheet language used for describing the presentation of a document written in a markup language like HTML.,It makes websites look good.,1
What is CSS?,CSS (Cascading Style Sheets) is a style sheet language used for describing the presentation of a document written in a markup language like HTML.,It is used to style and layout web pages.,2
What is Continuous Integration (CI)?,"CI is a DevOps practice where developers regularly merge their code changes into a central repository, after which automated builds and tests are run to detect integration errors as quickly as possible.",CI is when everyone works on the same computer to make sure the code integrates well.,0
What is Cross-Site Scripting (XSS)?,XSS is a security vulnerability that allows an attacker to inject malicious client-side scripts into web pages viewed by other users. This can bypass access controls and steal user data.,It is when you script the site to look different.,0
What is DNS?,"The Domain Name System (DNS) is a hierarchical and decentralized naming system for computers, services, or other resources connected to the Internet or a private network.",It translates domain names into IP addresses.,2
What is Docker used for?,"Docker is a platform used to develop, ship, and run applications inside containers. Containers allow a developer to package up an application with all of the parts it needs, such as libraries and other dependencies, and ship it all out as one package.",Docker helps you put your code in a box so it runs the same on any computer.,2
What is FTP?,The File Transfer Protocol (FTP) is a standard network protocol used for the transfer of computer files between a client and server on a computer network.,It is a protocol for transferring files.,2
What is Git?,Git is a distributed version control system for tracking changes in source code during software development. It is designed for coordinating work among programmers.,It is a website for code.,1
What is HTML?,HTML (HyperText Markup Language) is the standard markup language for documents designed to be displayed in a web browser.,It is the code for websites.,2
What is HTML?,HTML (HyperText Markup Language) is the standard markup language for documents designed to be displayed in a web browser.,It is code for websites.,1
What is HTML?,HTML (HyperText Markup Language) is the standard markup language for documents designed to be displayed in a web browser.,It is the standard language for creating web pages.,2
What is HTML?,HTML (HyperText Markup Language) is the standard markup language for documents designed to be displayed in a web browser.,It is a text message abbreviation for 'How To Meet Ladies'.,0
What is HTTP?,"The Hypertext Transfer Protocol (HTTP) is an application layer protocol for distributed, collaborative, hypermedia information systems.",It is the protocol used for transferring web data.,2
What is HTTPS?,"Hypertext Transfer Protocol Secure (HTTPS) is an extension of the Hypertext Transfer Protocol (HTTP). It is used for secure communication over a computer network, and is widely used on the Internet.",It is the secure version of HTTP.,2
What is JSON?,JSON (JavaScript Object Notation) is a lightweight data-interchange format. It is easy for humans to read and write and easy for machines to parse and generate.,It is a file format for JavaScript code.,1
What is JSON?,JSON (JavaScript Object Notation) is a lightweight data-interchange format. It is easy for humans to read and write and easy for machines to parse and generate.,It is a format for exchanging data that is easy to read and write.,2
What is JavaScript?,"JavaScript is a programming language that conforms to the ECMAScript specification. It is high-level, often just-in-time compiled, and multi-paradigm.",It is a scripting language.,1
What is JavaScript?,"JavaScript is a programming language that conforms to the ECMAScript specification. It is high-level, often just-in-time compiled, and multi-paradigm.",It is a scripting language used to make web pages interactive.,2
What is Kanban?,Kanban is a visual method for managing work as it moves through a process. Kanban visualizes both the process (the workflow) and the actual work passing through that process.,It is a visual workflow management method.,2
What is NoSQL?,NoSQL databases are non-tabular databases and store data differently than relational tables. They are often used for real-time web applications and big data because of their flexibility and scalability.,It means no SQL is allowed.,0
What is Python?,"Python is a high-level, general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant indentation.",Python is a large snake that lives in the jungle.,0
What is RAM?,"Random-access memory (RAM) is a form of computer memory that can be read and changed in any order, typically used to store working data and machine code.",It is memory.,1
What is SQL injection?,"SQL injection is a code injection technique where an attacker interferes with the queries an application makes to its database, often allowing them to view or modify data they shouldn't access.",It is when you inject new data into the SQL database to update it.,0
What is SQL?,"SQL (Structured Query Language) is a standard language for storing, manipulating, and retrieving data in databases.",It is a language for databases.,2
What is SSH?,SSH (Secure Shell) is a cryptographic network protocol for operating network services securely over an unsecured network. It is commonly used for remote login to computer systems.,It is a secure way to log in.,1
What is SaaS?,SaaS (Software as a Service) is a software distribution model in which a third-party provider hosts applications and makes them available to customers over the Internet.,It is software on the web.,1
What is Scrum?,"Scrum is a framework within which people can address complex adaptive problems, while productively and creatively delivering products of the highest possible value. It is a specific implementation of Agile.",It is an Agile framework for managing complex projects.,2
What is Unit Testing?,Unit testing is a software testing method where individual units or components of a software are tested to determine if they are fit for use. It is usually automated and written by developers.,It is testing the whole unit of the computer to see if it works.,0
What is Wi-Fi?,"Wi-Fi is a family of wireless network protocols, based on the IEEE 802.11 family of standards, which are commonly used for local area networking of devices and Internet access.",It is wireless internet.,2
What is WiFi?,"WiFi is a wireless networking technology that allows devices such as computers (laptops and desktops), mobile devices (smartphones and wearables), and other equipment to interface with the Internet.","It is a greeting, like 'High Five'.",0
What is XML?,XML (Extensible Markup Language) is a markup language that defines a set of rules for encoding documents in a format that is both human-readable and machine-readable.,It is a markup language for encoding documents.,2
What is a CDN?,A Content Delivery Network (CDN) is a geographically distributed group of servers which work together to provide fast delivery of Internet content. It caches content near the user to reduce latency.,It delivers content to the user.,1
What is a CPU?,"A central processing unit (CPU), also called a central processor, main processor or just processor, is the electronic circuitry that executes instructions comprising a computer program.",It is the brain of the computer.,2
What is a Class in programming?,"A class is a blueprint for creating objects (a particular data structure), providing initial values for state (member variables) and implementations of behavior (member functions or methods).",It is a group of students.,0
What is a Decorator in Python?,A decorator is a design pattern in Python that allows a user to add new functionality to an existing object without modifying its structure. It is usually called before the definition of a function you want to decorate.,It makes the code look pretty.,0
What is a GPU?,A Graphics Processing Unit (GPU) is a specialized electronic circuit designed to rapidly manipulate and alter memory to accelerate the creation of images in a frame buffer intended for output to a display device.,It makes games look good.,1
What is a Promise in JavaScript?,A Promise is an object representing the eventual completion or failure of an asynchronous operation. It allows you to attach callbacks instead of passing them into a function.,It is a guarantee that the code will run.,1
What is a REST API?,A REST API (Representational State Transfer) is an architectural style for an application program interface (API) that uses HTTP requests to access and use data.,It is an API that follows REST principles using HTTP methods like GET and POST.,2
What is a RESTful API?,"REST (Representational State Transfer) is an architectural style for an API that uses HTTP requests to access and use data. It relies on a stateless, client-server, cacheable communications protocol.",It is an API that is fast.,1
What is a URL?,A Uniform Resource Locator (URL) is a reference to a web resource that specifies its location on a computer network and a mechanism for retrieving it.,It is a website address.,2
What is a URL?,A Uniform Resource Locator (URL) is a reference to a web resource that specifies its location on a computer network and a mechanism for retrieving it.,It is the web address you type in to go to a specific website.,2
